text,label
How many medical leaves do I have left?,DYNAMIC
Provide policy guidelines for special leave.,STATIC
How does medical leave work?,STATIC
Explain the casual leave policy.,STATIC
What is my earned leave balance?,DYNAMIC
Explain the earned leave policy.,STATIC
How many earned leaves do I have left?,DYNAMIC
How many days of leave can I take?,DYNAMIC
What is the rule for medical leave?,STATIC
What are the rules for holiday policy?,STATIC
Give full details about paternity leave.,STATIC
Provide policy guidelines for maternity leave.,STATIC
Is there any policy for half-day policy?,STATIC
Provide policy guidelines for holiday policy.,STATIC
Explain the earned leave policy.,STATIC
Give full details about maternity leave.,STATIC
What are the rules for late coming policy?,STATIC
Tell me the official policy regarding maternity leave.,STATIC
Provide policy guidelines for casual leave.,STATIC
How many days of leave can I take?,DYNAMIC
What are the rules for on-duty leave?,STATIC
What is my special leave balance?,DYNAMIC
What is my earned leave balance?,DYNAMIC
How many earned leaves do I have left?,DYNAMIC
Check my remaining medical leaves.,DYNAMIC
Explain the late coming policy policy.,STATIC
Is there any policy for special leave?,STATIC
How many special leaves do I have left?,DYNAMIC
Tell me my leave balance.,DYNAMIC
Is there any policy for paternity leave?,STATIC
Do I have enough leave for vacation?,DYNAMIC
Give full details about late coming policy.,STATIC
Give full details about earned leave.,STATIC
What is the rule for holiday policy?,STATIC
Give full details about maternity leave.,STATIC
Do I have enough leave for vacation?,DYNAMIC
What is the rule for special leave?,STATIC
What are the rules for special leave?,STATIC
Is there any policy for half-day policy?,STATIC
Check my remaining sick leaves.,DYNAMIC
Show my leave summary.,DYNAMIC
Give full details about holiday policy.,STATIC
Give full details about late coming policy.,STATIC
What is the rule for on-duty leave?,STATIC
Provide policy guidelines for casual leave.,STATIC
Tell me my leave balance.,DYNAMIC
Show my leave summary.,DYNAMIC
Check my remaining casual leaves.,DYNAMIC
How many acl leaves do I have left?,DYNAMIC
How many days of leave can I take?,DYNAMIC
How many casual leaves do I have left?,DYNAMIC
How much ACL balance do I have?,DYNAMIC
Is there any policy for casual leave?,STATIC
How much ACL balance do I have?,DYNAMIC
Give full details about holiday policy.,STATIC
What is my special leave balance?,DYNAMIC
Tell me the official policy regarding special leave.,STATIC
How does earned leave work?,STATIC
Show my leave summary.,DYNAMIC
Show my leave summary.,DYNAMIC
What is my casual leave balance?,DYNAMIC
How many days of leave can I take?,DYNAMIC
Tell me the official policy regarding on-duty leave.,STATIC
Tell me the official policy regarding earned leave.,STATIC
Is there any policy for maternity leave?,STATIC
What is the rule for paternity leave?,STATIC
Show my leave summary.,DYNAMIC
How does on-duty leave work?,STATIC
Explain the paternity leave policy.,STATIC
How much ACL balance do I have?,DYNAMIC
Give full details about late coming policy.,STATIC
How many sick leaves do I have left?,DYNAMIC
Check my remaining casual leaves.,DYNAMIC
What is my sick leave balance?,DYNAMIC
What are the rules for maternity leave?,STATIC
Explain the casual leave policy.,STATIC
How much ACL balance do I have?,DYNAMIC
Is there any policy for medical leave?,STATIC
Explain the late coming policy policy.,STATIC
Show my leave summary.,DYNAMIC
Provide policy guidelines for half-day policy.,STATIC
What is the rule for earned leave?,STATIC
How much ACL balance do I have?,DYNAMIC
What is my acl leave balance?,DYNAMIC
Tell me the official policy regarding paternity leave.,STATIC
What is the rule for paternity leave?,STATIC
Explain the medical leave policy.,STATIC
How much ACL balance do I have?,DYNAMIC
What is my special leave balance?,DYNAMIC
Is there any policy for holiday policy?,STATIC
How much ACL balance do I have?,DYNAMIC
Is there any policy for on-duty leave?,STATIC
What is the rule for maternity leave?,STATIC
Explain the maternity leave policy.,STATIC
Check my remaining medical leaves.,DYNAMIC
Tell me the official policy regarding casual leave.,STATIC
How many days of leave can I take?,DYNAMIC
Explain the half-day policy policy.,STATIC
Give full details about medical leave.,STATIC
Give full details about casual leave.,STATIC
Is there any policy for half-day policy?,STATIC
How many days of leave can I take?,DYNAMIC
Explain the holiday policy policy.,STATIC
Provide policy guidelines for holiday policy.,STATIC
What are the rules for holiday policy?,STATIC
Tell me my leave balance.,DYNAMIC
How many acl leaves do I have left?,DYNAMIC
Explain the casual leave policy.,STATIC
How many days of leave can I take?,DYNAMIC
What is the rule for holiday policy?,STATIC
Tell me the official policy regarding half-day policy.,STATIC
Tell me the official policy regarding medical leave.,STATIC
Show my leave summary.,DYNAMIC
What are the rules for paternity leave?,STATIC
Give full details about maternity leave.,STATIC
Show my leave summary.,DYNAMIC
Check my remaining earned leaves.,DYNAMIC
Show my leave summary.,DYNAMIC
Is there any policy for casual leave?,STATIC
How many days of leave can I take?,DYNAMIC
Tell me my leave balance.,DYNAMIC
Do I have enough leave for vacation?,DYNAMIC
How many days of leave can I take?,DYNAMIC
Is there any policy for casual leave?,STATIC
How much ACL balance do I have?,DYNAMIC
Explain the special leave policy.,STATIC
What is the rule for casual leave?,STATIC
What is the rule for half-day policy?,STATIC
Provide policy guidelines for medical leave.,STATIC
Do I have enough leave for vacation?,DYNAMIC
Provide policy guidelines for earned leave.,STATIC
Tell me my leave balance.,DYNAMIC
Tell me my leave balance.,DYNAMIC
How does earned leave work?,STATIC
Explain the medical leave policy.,STATIC
Is there any policy for half-day policy?,STATIC
How many casual leaves do I have left?,DYNAMIC
How does half-day policy work?,STATIC
Do I have enough leave for vacation?,DYNAMIC
Give full details about special leave.,STATIC
How does paternity leave work?,STATIC
How much ACL balance do I have?,DYNAMIC
Provide policy guidelines for late coming policy.,STATIC
Is there any policy for earned leave?,STATIC
Is there any policy for earned leave?,STATIC
Provide policy guidelines for special leave.,STATIC
Explain the holiday policy policy.,STATIC
What are the rules for holiday policy?,STATIC
What are the rules for on-duty leave?,STATIC
What is the rule for earned leave?,STATIC
Give full details about special leave.,STATIC
Tell me my leave balance.,DYNAMIC
Show my leave summary.,DYNAMIC
What are the rules for late coming policy?,STATIC
Tell me the official policy regarding paternity leave.,STATIC
What is the rule for half-day policy?,STATIC
Check my remaining sick leaves.,DYNAMIC
What are the rules for casual leave?,STATIC
Explain the half-day policy policy.,STATIC
Explain the earned leave policy.,STATIC
